Supplier,Officer Name,SIA Licence,Site Name,Date,Start Time,End Time,Break (mins),Hours Worked,Hourly Rate,Total,Status,Notes
Delta Force,David Clarke,4567890123456789,Battersea Power Station,2026-02-10,06:00,18:00,30,11.5,14.50,166.75,completed,Day shift
Delta Force,David Clarke,4567890123456789,Liverpool Street Station,2026-02-11,18:00,06:00,30,11.5,16.00,184.00,completed,Night shift - trespasser removed
Delta Force,David Clarke,4567890123456789,Liverpool Street Station,2026-02-12,18:00,06:00,30,11.5,16.00,184.00,completed,Night shift
Delta Force,David Clarke,4567890123456789,Battersea Power Station,2026-02-13,06:00,18:00,30,11.5,14.50,166.75,completed,Day shift
Delta Force,Rachel Adams,5678901234567890,Wembley Stadium,2026-02-02,08:00,20:00,60,11.0,15.00,165.00,completed,Match day security
Delta Force,Rachel Adams,5678901234567890,Regent Street Retail,2026-02-03,07:00,19:00,30,11.5,14.00,161.00,completed,Retail patrol
Delta Force,Rachel Adams,5678901234567890,Regent Street Retail,2026-02-04,07:00,19:00,30,11.5,14.00,161.00,completed,Retail patrol
Delta Force,Rachel Adams,5678901234567890,Regent Street Retail,2026-02-05,07:00,19:00,30,11.5,14.00,161.00,completed,Retail patrol
Delta Force,Rachel Adams,5678901234567890,Wembley Stadium,2026-02-06,08:00,20:00,60,11.0,15.00,165.00,completed,Match day security
Delta Force,Rachel Adams,5678901234567890,Regent Street Retail,2026-02-09,07:00,19:00,30,11.5,14.00,161.00,completed,Retail patrol
Delta Force,Rachel Adams,5678901234567890,Regent Street Retail,2026-02-10,07:00,19:00,30,11.5,14.00,161.00,completed,Retail patrol - shoplifter detained
Delta Force,Rachel Adams,5678901234567890,Wembley Stadium,2026-02-11,08:00,20:00,60,11.0,15.00,165.00,completed,Concert security
Delta Force,Rachel Adams,5678901234567890,Regent Street Retail,2026-02-12,07:00,19:00,30,11.5,14.00,161.00,completed,Retail patrol
Delta Force,Rachel Adams,5678901234567890,Wembley Stadium,2026-02-13,08:00,20:00,60,11.0,15.00,165.00,completed,Match day security
